course_code,subject,term_value,term_text,scrape_timestamp,enrollment,capacity,seats_open,course_title,distribution_area,status
CEE 460,CEE,1252,24-25 Fall,2025-08-01T17:10:53.381525,17.0,30.0,13.0,RiskAnalysis,QCR,
CEE 467,CEE,1252,24-25 Fall,2025-08-01T17:10:53.381580,26.0,30.0,4.0,Design and Behavior of SteelStructures,,
CEE 471,CEE,1252,24-25 Fall,2025-08-01T17:10:53.381633,16.0,25.0,9.0,Introduction to Water PollutionTechnology,SEN,
CEE 507,CEE,1252,24-25 Fall,2025-08-01T17:10:53.381687,2.0,10.0,8.0,Independent StudyI,,
CEE 508,CEE,1252,24-25 Fall,2025-08-01T17:10:53.381737,0.0,0.0,0.0,Independent StudyII,,Canceled
CEE 509,CEE,1252,24-25 Fall,2025-08-01T17:10:53.381788,0.0,0.0,0.0,DirectedResearch,,Canceled
CEE 510,CEE,1252,24-25 Fall,2025-08-01T17:10:53.381838,18.0,30.0,12.0,ResearchSeminar,,
CEE 518,CEE,1252,24-25 Fall,2025-08-01T17:10:53.381888,2.0,30.0,28.0,"Zero Carbon, Resilient, Equitable Cities: Infrastructure Innovations and SystemsAnalysis",,
CEE 546,CEE,1252,24-25 Fall,2025-08-01T17:10:53.381942,7.0,25.0,18.0,Form Finding of StructuralSurfaces,,
CEE 567,CEE,1252,24-25 Fall,2025-08-01T17:11:17.187193,0.0,0.0,0.0,Advanced Design and Behavior of SteelStructures,,Canceled
CEE 586,CEE,1252,24-25 Fall,2025-08-01T17:11:17.187265,8.0,15.0,7.0,PhysicalHydrology,,
CEE 587,CEE,1252,24-25 Fall,2025-08-01T17:11:17.187325,6.0,15.0,9.0,Ecohydrology,,
CEE 593,CEE,1252,24-25 Fall,2025-08-01T17:11:17.187380,5.0,10.0,5.0,Aerosol Chemistry andPhysics,,
CEE 599,CEE,1252,24-25 Fall,2025-08-01T17:11:17.187461,5.0,15.0,10.0,Special Topics in Environmental Engineering and Water Resources: Modeling of Geochemical Kinetics and ReactiveTransport,,
CEE 599A,CEE,1252,24-25 Fall,2025-08-01T17:11:17.187518,0.0,0.0,0.0,Special Topics in Environmental Engineering and Water Resources: Drinking WaterDecarbonization,,Canceled
CEE 599B,CEE,1252,24-25 Fall,2025-08-01T17:11:17.187574,18.0,25.0,7.0,Special Topics in Environmental Engineering and Water Resources: Statistical Methods in Water and theEnvironment,,
CHI 101,CHI,1252,24-25 Fall,2025-08-01T17:11:17.187631,7.0,12.0,5.0,Elementary ChineseI,,
CHI 101,CHI,1252,24-25 Fall,2025-08-01T17:11:17.187687,8.0,10.0,2.0,Elementary ChineseI,,
CHI 101,CHI,1252,24-25 Fall,2025-08-01T17:11:17.187742,2.0,10.0,8.0,Elementary ChineseI,,
CHI 101,CHI,1252,24-25 Fall,2025-08-01T17:11:17.187798,9.0,10.0,1.0,Elementary ChineseI,,
CHI 103,CHI,1252,24-25 Fall,2025-08-01T17:11:17.187853,10.0,12.0,2.0,Intensive ElementaryChinese,,
CHI 103,CHI,1252,24-25 Fall,2025-08-01T17:11:17.187908,7.0,12.0,5.0,Intensive ElementaryChinese,,
CHI 103,CHI,1252,24-25 Fall,2025-08-01T17:11:17.187963,7.0,10.0,3.0,Intensive ElementaryChinese,,
CHI 103,CHI,1252,24-25 Fall,2025-08-01T17:11:17.188018,9.0,12.0,3.0,Intensive ElementaryChinese,,
CHI 103,CHI,1252,24-25 Fall,2025-08-01T17:11:17.188077,6.0,12.0,6.0,Intensive ElementaryChinese,,
CHI 105,CHI,1252,24-25 Fall,2025-08-01T17:11:17.188132,10.0,12.0,2.0,Intermediate ChineseI,,
CHI 105,CHI,1252,24-25 Fall,2025-08-01T17:11:17.188188,6.0,12.0,6.0,Intermediate ChineseI,,
CHI 105,CHI,1252,24-25 Fall,2025-08-01T17:11:17.188255,5.0,10.0,5.0,Intermediate ChineseI,,
CHI 105,CHI,1252,24-25 Fall,2025-08-01T17:11:17.188310,9.0,12.0,3.0,Intermediate ChineseI,,
CHI 105,CHI,1252,24-25 Fall,2025-08-01T17:11:17.188365,0.0,0.0,0.0,Intermediate ChineseI,,Canceled
CHI 301,CHI,1252,24-25 Fall,2025-08-01T17:11:17.188419,5.0,10.0,5.0,Introduction to Classical ChineseI,HA,
CHI 301,CHI,1252,24-25 Fall,2025-08-01T17:11:17.188477,8.0,10.0,2.0,Introduction to Classical ChineseI,HA,
CHI 301,CHI,1252,24-25 Fall,2025-08-01T17:11:17.188533,4.0,10.0,6.0,Introduction to Classical ChineseI,HA,
CHI 303,CHI,1252,24-25 Fall,2025-08-01T17:11:17.188589,8.0,12.0,4.0,Third-Year Modern ChineseI,,
CHI 303,CHI,1252,24-25 Fall,2025-08-01T17:11:17.188644,0.0,0.0,0.0,Third-Year Modern ChineseI,,Canceled
CHI 303,CHI,1252,24-25 Fall,2025-08-01T17:11:17.188701,7.0,12.0,5.0,Third-Year Modern ChineseI,,
CHI 303,CHI,1252,24-25 Fall,2025-08-01T17:11:17.188756,8.0,12.0,4.0,Third-Year Modern ChineseI,,
CHI 303,CHI,1252,24-25 Fall,2025-08-01T17:11:17.188810,5.0,12.0,7.0,Third-Year Modern ChineseI,,
CHI 305,CHI,1252,24-25 Fall,2025-08-01T17:11:17.188865,9.0,10.0,1.0,Intensive Third-Year Modern ChineseI,,
CHI 305,CHI,1252,24-25 Fall,2025-08-01T17:11:17.188921,7.0,10.0,3.0,Intensive Third-Year Modern ChineseI,,
CHI 305,CHI,1252,24-25 Fall,2025-08-01T17:11:17.188978,0.0,0.0,0.0,Intensive Third-Year Modern ChineseI,,Canceled
CHI 403,CHI,1252,24-25 Fall,2025-08-01T17:11:17.189036,7.0,10.0,3.0,Fourth-Year Modern ChineseI,,
CHI 403,CHI,1252,24-25 Fall,2025-08-01T17:11:17.189091,6.0,10.0,4.0,Fourth-Year Modern ChineseI,,
CHI 403,CHI,1252,24-25 Fall,2025-08-01T17:11:17.189147,0.0,0.0,0.0,Fourth-Year Modern ChineseI,,Canceled
CHI 405,CHI,1252,24-25 Fall,2025-08-01T17:11:17.189202,7.0,10.0,3.0,Intensive Fourth-Year Modern ChineseI,,
CHI 405,CHI,1252,24-25 Fall,2025-08-01T17:11:17.189258,6.0,10.0,4.0,Intensive Fourth-Year Modern ChineseI,,
CHI 405,CHI,1252,24-25 Fall,2025-08-01T17:11:17.189314,0.0,0.0,0.0,Intensive Fourth-Year Modern ChineseI,,Canceled
CHI 411,CHI,1252,24-25 Fall,2025-08-01T17:11:17.189369,0.0,0.0,0.0,Readings in Modern Chinese IntellectualHistory,LA,Canceled
CHI 411,CHI,1252,24-25 Fall,2025-08-01T17:11:17.189425,4.0,10.0,6.0,Readings in Modern Chinese IntellectualHistory,LA,
CHI 411,CHI,1252,24-25 Fall,2025-08-01T17:11:17.189480,6.0,10.0,4.0,Readings in Modern Chinese IntellectualHistory,LA,
CHI 411,CHI,1252,24-25 Fall,2025-08-01T17:11:17.189537,3.0,10.0,7.0,Readings in Modern Chinese IntellectualHistory,LA,
CHI 451,CHI,1252,24-25 Fall,2025-08-01T17:11:17.189592,0.0,0.0,0.0,Fifth Year Modern Chinese I: Language and Culture in ContemporaryChina,,Canceled
CHI 451,CHI,1252,24-25 Fall,2025-08-01T17:11:17.189648,6.0,8.0,2.0,Fifth Year Modern Chinese I: Language and Culture in ContemporaryChina,,
CHI1002,CHI,1252,24-25 Fall,2025-08-01T17:11:17.189703,0.0,0.0,0.0,Introductory ChineseII,,Canceled
CHI1002,CHI,1252,24-25 Fall,2025-08-01T17:11:17.189758,7.0,10.0,3.0,Introductory ChineseII,,
CHM 201,CHM,1252,24-25 Fall,2025-08-01T17:11:17.189812,236.0,293.0,57.0,General ChemistryI,SEL,
CHM 207,CHM,1252,24-25 Fall,2025-08-01T17:11:17.189869,120.0,140.0,20.0,General Chemistry: Applications in ModernTechnology,SEL,
CHM 250,CHM,1252,24-25 Fall,2025-08-01T17:11:17.189925,12.0,12.0,0.0,Chemistry Research Experience I(Non-Credit),,Closed
CHM 301,CHM,1252,24-25 Fall,2025-08-01T17:11:17.189979,189.0,255.0,66.0,Organic Chemistry I: BiologicalEmphasis,SEL,
CHM 305,CHM,1252,24-25 Fall,2025-08-01T17:11:17.190035,15.0,36.0,21.0,The QuantumWorld,SEN,
CHM 337,CHM,1252,24-25 Fall,2025-08-01T17:11:17.190091,10.0,18.0,8.0,Organic Chemistry: BioengineeringEmphasis,SEL,
CHM 371,CHM,1252,24-25 Fall,2025-08-01T17:11:17.190147,17.0,32.0,15.0,ExperimentalChemistry,SEL,
CHM 373,CHM,1252,24-25 Fall,2025-08-01T17:11:17.190202,10.0,30.0,20.0,Analytical Methods and ExperimentalDesign,SEN,
CHM 411,CHM,1252,24-25 Fall,2025-08-01T17:11:17.190256,13.0,24.0,11.0,Inorganic Chemistry: Structure andReactivity,SEN,
CHM 500A,CHM,1252,24-25 Fall,2025-08-01T17:11:17.190310,12.0,13.0,1.0,Responsible Conduct of Research in Chemistry(Half-Term),,
CHM 500B,CHM,1252,24-25 Fall,2025-08-01T17:11:17.190364,10.0,15.0,5.0,Responsible Conduct of Research in Chemistry(Half-Term),,
CHM 500C,CHM,1252,24-25 Fall,2025-08-01T17:11:17.190418,12.0,12.0,0.0,Responsible Conduct of Research in Chemistry(Half-Term),,Closed
CHM 501,CHM,1252,24-25 Fall,2025-08-01T17:11:17.190475,16.0,20.0,4.0,Basic Principles of QuantumMechanics,,
CHM 503,CHM,1252,24-25 Fall,2025-08-01T17:11:17.190529,7.0,20.0,13.0,Introduction to StatisticalMechanics,,
CHM 522,CHM,1252,24-25 Fall,2025-08-01T17:11:17.190583,32.0,35.0,3.0,Advanced InorganicChemistry,,
CHM 530,CHM,1252,24-25 Fall,2025-08-01T17:11:17.190638,39.0,42.0,3.0,Synthetic OrganicChemistry,,
CHM 532,CHM,1252,24-25 Fall,2025-08-01T17:11:17.190692,41.0,45.0,4.0,Mechanistic and Physical OrganicChemistry,,
CHM 538,CHM,1252,24-25 Fall,2025-08-01T17:11:17.190745,23.0,50.0,27.0,Topics in Biological Chemistry: Chemical Tools to Study BiologicalSystems,,
CHV 599,CHV,1252,24-25 Fall,2025-08-01T17:11:17.190799,5.0,12.0,7.0,DissertationSeminar,,
CLA 203,CLA,1252,24-25 Fall,2025-08-01T17:11:17.190851,53.0,75.0,22.0,What is aClassic?,CD or LA,
CLA 212,CLA,1252,24-25 Fall,2025-08-01T17:11:17.190906,0.0,0.0,0.0,ClassicalMythology,LA,Canceled
CLA 218,CLA,1252,24-25 Fall,2025-08-01T17:11:17.190961,244.0,245.0,1.0,The RomanRepublic,HA,
CLA 234,CLA,1252,24-25 Fall,2025-08-01T17:11:17.191015,107.0,120.0,13.0,Magic and Witchcraft in the AncientWorld,HA or LA,
CLA 314,CLA,1252,24-25 Fall,2025-08-01T17:11:17.191070,12.0,15.0,3.0,On the Road with Paul of Tarsus: Travel in the RomanMediterranean,HA,
CLA 326,CLA,1252,24-25 Fall,2025-08-01T17:11:17.191126,11.0,15.0,4.0,Topics in Ancient History: Athenian Democracy and ItsCritics,HA,
CLA 340,CLA,1252,24-25 Fall,2025-08-01T17:11:17.191180,14.0,16.0,2.0,Junior Seminar: Introduction toClassics,HA,
CLA 502,CLA,1252,24-25 Fall,2025-08-01T17:11:17.191234,14.0,20.0,6.0,Survey of Selected Greek Literature: Survey of GreekLiterature,,
CLA 542,CLA,1252,24-25 Fall,2025-08-01T17:11:17.191288,8.0,15.0,7.0,Problems in Latin Literature: LatinEpistolography,,
CLA 547,CLA,1252,24-25 Fall,2025-08-01T17:11:17.191342,9.0,12.0,3.0,Problems in Ancient History: The Senses in the AncientMediterranean,,
CLA 562,CLA,1252,24-25 Fall,2025-08-01T17:11:17.191397,10.0,20.0,10.0,Historical/Comparative Grammar ofGreek,,
CLA 599,CLA,1252,24-25 Fall,2025-08-01T17:11:17.191451,8.0,20.0,12.0,Dissertation Writers'Seminar,,
CLG 101,CLG,1252,24-25 Fall,2025-08-01T17:11:17.191508,10.0,15.0,5.0,Beginner's AncientGreek,,
CLG 105,CLG,1252,24-25 Fall,2025-08-01T17:11:17.191562,9.0,15.0,6.0,Socrates,,
CLG 214,CLG,1252,24-25 Fall,2025-08-01T17:11:17.191614,7.0,15.0,8.0,Greek Prose Authors:Thucydides,LA,
CLG 302,CLG,1252,24-25 Fall,2025-08-01T17:11:17.191671,7.0,20.0,13.0,GreekTragedy,LA,
COM 245,COM,1252,24-25 Fall,2025-08-01T17:11:17.191725,53.0,60.0,7.0,Classics of JapaneseCinema,EM,
COM 300,COM,1252,24-25 Fall,2025-08-01T17:11:17.191788,12.0,18.0,6.0,Junior Seminar: Introduction to ComparativeLiterature,LA,
COM 301,COM,1252,24-25 Fall,2025-08-01T17:11:17.191843,8.0,20.0,12.0,Theory and Methods of Comparative Literature: Critical and LiteraryTheory,LA,
COM 310,COM,1252,24-25 Fall,2025-08-01T17:11:17.191898,0.0,0.0,0.0,The Literature of MedievalEurope,LA,Canceled
COM 319,COM,1252,24-25 Fall,2025-08-01T17:11:17.191953,10.0,25.0,15.0,"Decadence: Empire, Sexuality,Aesthetics",LA,
COM 351,COM,1252,24-25 Fall,2025-08-01T17:11:17.192012,36.0,85.0,49.0,Great Books from LittleLanguages,CD or LA,
COM 353,COM,1252,24-25 Fall,2025-08-01T17:11:17.192066,7.0,15.0,8.0,Contemporary Latin America in Literature and VisualArts,CD or LA,
COM 396,COM,1252,24-25 Fall,2025-08-01T17:11:17.192121,3.0,25.0,22.0,The Poetics and Politics ofPronouns,CD or LA,
COM 401,COM,1252,24-25 Fall,2025-08-01T17:11:17.192176,8.0,15.0,7.0,"Seminar. Types of Ideology and Literary Form: Ethics, the Novel, andPornography",EM,
COM 419,COM,1252,24-25 Fall,2025-08-01T17:11:17.192230,12.0,30.0,18.0,Conceptions of theSensory,LA,
COM 466,COM,1252,24-25 Fall,2025-08-01T17:11:17.192285,14.0,20.0,6.0,"Refugees, Migrants and the Making of ContemporaryEurope",CD or EM,
COM 476,COM,1252,24-25 Fall,2025-08-01T17:11:17.192340,13.0,15.0,2.0,Crafting Freedom: Women and Liberation in the Americas (1960s to thepresent),CD or LA,
COM 500,COM,1252,24-25 Fall,2025-08-01T17:11:17.192395,7.0,12.0,5.0,Comparative Literature Graduate PedagogySeminar,,
COM 513,COM,1252,24-25 Fall,2025-08-01T17:11:17.192449,0.0,0.0,0.0,Topics in Literature and Philosophy: Word andOmen,,Canceled
COM 521,COM,1252,24-25 Fall,2025-08-01T17:11:17.192503,11.0,15.0,4.0,Introduction to ComparativeLiterature,,
COM 532,COM,1252,24-25 Fall,2025-08-01T17:11:17.192557,5.0,12.0,7.0,"Publishing Articles in Literature, Art, and Music StudiesJournals",,
COM 535,COM,1252,24-25 Fall,2025-08-01T17:11:17.192610,12.0,15.0,3.0,Contemporary Critical Theories: Marx's Capital: Reading Volume2,,
COM 536,COM,1252,24-25 Fall,2025-08-01T17:11:17.192664,5.0,15.0,10.0,Topics in Critical Theory: Comparative Literature Writing and DissertationColloquium,,
COM 572,COM,1252,24-25 Fall,2025-08-01T17:11:17.192718,0.0,0.0,0.0,Introduction to Critical Theory: Dialectic andDifference,,Canceled
COS 109,COS,1252,24-25 Fall,2025-08-01T17:11:38.904930,16.0,50.0,34.0,Computers in OurWorld,QCR,
COS 126,COS,1252,24-25 Fall,2025-08-01T17:11:38.905003,267.0,275.0,8.0,Computer Science: An InterdisciplinaryApproach,QCR,
COS 217,COS,1252,24-25 Fall,2025-08-01T17:11:38.905061,155.0,180.0,25.0,Introduction to ProgrammingSystems,QCR,
COS 226,COS,1252,24-25 Fall,2025-08-01T17:11:38.905117,230.0,246.0,16.0,Algorithms and DataStructures,QCR,
COS 240,COS,1252,24-25 Fall,2025-08-01T17:11:38.905173,82.0,147.0,65.0,Reasoning AboutComputation,QCR,
COS 302,COS,1252,24-25 Fall,2025-08-01T17:11:38.905229,70.0,87.0,17.0,Mathematics for Numerical Computing and MachineLearning,,
COS 316,COS,1252,24-25 Fall,2025-08-01T17:11:38.905284,146.0,175.0,29.0,Principles of Computer SystemDesign,,
COS 324,COS,1252,24-25 Fall,2025-08-01T17:11:38.905339,119.0,180.0,61.0,Introduction to MachineLearning,,
COS 326,COS,1252,24-25 Fall,2025-08-01T17:11:38.905394,49.0,87.0,38.0,FunctionalProgramming,,
COS 333,COS,1252,24-25 Fall,2025-08-01T17:11:38.905448,77.0,80.0,3.0,Advanced ProgrammingTechniques,,
COS 350,COS,1252,24-25 Fall,2025-08-01T17:11:38.905503,73.0,90.0,17.0,Ethics ofComputing,EM,
COS 375,COS,1252,24-25 Fall,2025-08-01T17:11:38.905559,137.0,147.0,10.0,Computer Architecture andOrganization,SEN,
COS 397,COS,1252,24-25 Fall,2025-08-01T17:11:38.905615,9.0,8.0,-1.0,Junior Independent Work (B.S.E. candidatesonly),,Closed
COS 397,COS,1252,24-25 Fall,2025-08-01T17:11:38.905669,4.0,5.0,1.0,Junior Independent Work (B.S.E. candidatesonly),,Closed
COS 397,COS,1252,24-25 Fall,2025-08-01T17:11:38.905724,5.0,5.0,0.0,Junior Independent Work (B.S.E. candidatesonly),,Closed
COS 397,COS,1252,24-25 Fall,2025-08-01T17:11:38.905778,2.0,5.0,3.0,Junior Independent Work (B.S.E. candidatesonly),,
COS 397,COS,1252,24-25 Fall,2025-08-01T17:11:38.905836,1.0,5.0,4.0,Junior Independent Work (B.S.E. candidatesonly),,
COS 397,COS,1252,24-25 Fall,2025-08-01T17:11:38.905890,11.0,14.0,3.0,Junior Independent Work (B.S.E. candidatesonly),,Closed
COS 397,COS,1252,24-25 Fall,2025-08-01T17:11:38.905944,5.0,4.0,-1.0,Junior Independent Work (B.S.E. candidatesonly),,Closed
COS 397,COS,1252,24-25 Fall,2025-08-01T17:11:38.905999,7.0,12.0,5.0,Junior Independent Work (B.S.E. candidatesonly),,
COS 397,COS,1252,24-25 Fall,2025-08-01T17:11:38.906053,18.0,100.0,82.0,Junior Independent Work (B.S.E. candidatesonly),,
COS 426,COS,1252,24-25 Fall,2025-08-01T17:11:38.906106,31.0,87.0,56.0,ComputerGraphics,,
COS 429,COS,1252,24-25 Fall,2025-08-01T17:11:38.906160,57.0,100.0,43.0,ComputerVision,,
COS 433,COS,1252,24-25 Fall,2025-08-01T17:11:38.906214,38.0,100.0,62.0,Cryptography,,
COS 436,COS,1252,24-25 Fall,2025-08-01T17:11:38.906266,39.0,60.0,21.0,Human-ComputerInteraction,,Closed
COS 497,COS,1252,24-25 Fall,2025-08-01T17:11:38.906320,2.0,3.0,1.0,Senior Independent Work (B.S.E. candidatesonly),,Closed
COS 497,COS,1252,24-25 Fall,2025-08-01T17:11:38.906374,6.0,7.0,1.0,Senior Independent Work (B.S.E. candidatesonly),,Closed
COS 497,COS,1252,24-25 Fall,2025-08-01T17:11:38.906428,7.0,7.0,0.0,Senior Independent Work (B.S.E. candidatesonly),,Closed
COS 497,COS,1252,24-25 Fall,2025-08-01T17:11:38.906482,2.0,10.0,8.0,Senior Independent Work (B.S.E. candidatesonly),,
COS 497,COS,1252,24-25 Fall,2025-08-01T17:11:38.906535,1.0,10.0,9.0,Senior Independent Work (B.S.E. candidatesonly),,
COS 497,COS,1252,24-25 Fall,2025-08-01T17:11:38.906590,3.0,4.0,1.0,Senior Independent Work (B.S.E. candidatesonly),,Closed
COS 497,COS,1252,24-25 Fall,2025-08-01T17:11:38.906644,8.0,7.0,-1.0,Senior Independent Work (B.S.E. candidatesonly),,Closed
COS 497,COS,1252,24-25 Fall,2025-08-01T17:11:38.906697,5.0,6.0,1.0,Senior Independent Work (B.S.E. candidatesonly),,Closed
COS 497,COS,1252,24-25 Fall,2025-08-01T17:11:38.906751,33.0,100.0,67.0,Senior Independent Work (B.S.E. candidatesonly),,
COS 511,COS,1252,24-25 Fall,2025-08-01T17:11:38.906801,49.0,75.0,26.0,Theoretical MachineLearning,,
COS 516,COS,1252,24-25 Fall,2025-08-01T17:11:38.906855,21.0,40.0,19.0,Automated Reasoning aboutSoftware,,
COS 521,COS,1252,24-25 Fall,2025-08-01T17:11:38.906908,38.0,75.0,37.0,Advanced AlgorithmDesign,,
COS 528,COS,1252,24-25 Fall,2025-08-01T17:11:38.906961,5.0,35.0,30.0,Data Structures and GraphAlgorithms,,
COS 533,COS,1252,24-25 Fall,2025-08-01T17:11:38.907018,3.0,30.0,27.0,Cryptography,,
COS 551,COS,1252,24-25 Fall,2025-08-01T17:11:38.907070,28.0,35.0,7.0,Introduction to Genomics and Computational MolecularBiology,,
COS 583,COS,1252,24-25 Fall,2025-08-01T17:11:38.907123,0.0,0.0,0.0,Great Moments inComputing,,Canceled
COS 590,COS,1252,24-25 Fall,2025-08-01T17:11:38.907176,4.0,30.0,26.0,Extramural ResearchInternship,,
COS 597A,COS,1252,24-25 Fall,2025-08-01T17:11:38.907226,14.0,50.0,36.0,Advanced Topics in Computer Science: Algorithmic MechanismDesign,,
COS 597B,COS,1252,24-25 Fall,2025-08-01T17:11:38.907279,13.0,30.0,17.0,Advanced Topics in Computer Science: Recent Advances in GraphAlgorithms,,
COS 597C,COS,1252,24-25 Fall,2025-08-01T17:11:38.907332,20.0,20.0,0.0,Advanced Topics in Computer Science: Theory of NaturalAlgorithms,,Closed
COS 597D,COS,1252,24-25 Fall,2025-08-01T17:11:38.907385,21.0,35.0,14.0,Advanced Topics in Computer Science: Imaging theInvisible,,
COS 597E,COS,1252,24-25 Fall,2025-08-01T17:11:38.907438,16.0,30.0,14.0,"Advanced Topics in Computer Science: Programming Languages (for distributed systems), DistributedSystems",,
COS 597H,COS,1252,24-25 Fall,2025-08-01T17:11:38.907492,23.0,25.0,2.0,"Advanced Topics in Computer Science: AI, Society, andEducation",,
COS 597K,COS,1252,24-25 Fall,2025-08-01T17:11:38.907545,9.0,20.0,11.0,Advanced Topics in Computer Science: Systems for Serving GenerativeAI,,
COS 597R,COS,1252,24-25 Fall,2025-08-01T17:11:38.907598,50.0,60.0,10.0,Advanced Topics in Computer Science: Deep Dive into Large LanguageModels,,
COS 597S,COS,1252,24-25 Fall,2025-08-01T17:11:38.907650,5.0,20.0,15.0,Advanced Topics in Computer Science: Recent Advances in WirelessNetworks,,
COS 597T,COS,1252,24-25 Fall,2025-08-01T17:11:38.907703,2.0,12.0,10.0,Advanced Topics in Computer Science: Product Management and TechEntrepreneurship,,
COS 597U,COS,1252,24-25 Fall,2025-08-01T17:11:38.907756,16.0,20.0,4.0,Advanced Topics in Computer Science: SpatialComputing,,
CTL 501,CTL,1252,24-25 Fall,2025-08-01T17:11:38.907809,10.0,15.0,5.0,Scholarly Approaches toTeaching,,
CWR 201,CWR,1252,24-25 Fall,2025-08-01T17:11:38.907861,9.0,10.0,1.0,Creative Writing(Poetry),LA,Closed
CWR 201,CWR,1252,24-25 Fall,2025-08-01T17:11:38.907921,10.0,10.0,0.0,Creative Writing(Poetry),LA,Closed
CWR 201,CWR,1252,24-25 Fall,2025-08-01T17:11:38.907975,8.0,10.0,2.0,Creative Writing(Poetry),LA,Closed
CWR 201,CWR,1252,24-25 Fall,2025-08-01T17:11:38.908029,11.0,10.0,-1.0,Creative Writing(Poetry),LA,Closed
CWR 201,CWR,1252,24-25 Fall,2025-08-01T17:11:38.908084,11.0,10.0,-1.0,Creative Writing(Poetry),LA,Closed
CWR 201,CWR,1252,24-25 Fall,2025-08-01T17:11:38.908137,12.0,10.0,-2.0,Creative Writing(Poetry),LA,Closed
CWR 201,CWR,1252,24-25 Fall,2025-08-01T17:11:38.908190,9.0,10.0,1.0,Creative Writing(Poetry),LA,Closed
CWR 201,CWR,1252,24-25 Fall,2025-08-01T17:11:38.908244,10.0,10.0,0.0,Creative Writing(Poetry),LA,Closed
CWR 203,CWR,1252,24-25 Fall,2025-08-01T17:11:38.908297,10.0,10.0,0.0,Creative Writing(Fiction),LA,Closed
CWR 203,CWR,1252,24-25 Fall,2025-08-01T17:11:38.908351,10.0,10.0,0.0,Creative Writing(Fiction),LA,Closed
CWR 203,CWR,1252,24-25 Fall,2025-08-01T17:11:38.908404,11.0,10.0,-1.0,Creative Writing(Fiction),LA,Closed
CWR 203,CWR,1252,24-25 Fall,2025-08-01T17:11:38.908458,9.0,10.0,1.0,Creative Writing(Fiction),LA,Closed
CWR 203,CWR,1252,24-25 Fall,2025-08-01T17:11:38.908512,10.0,10.0,0.0,Creative Writing(Fiction),LA,Closed
CWR 203,CWR,1252,24-25 Fall,2025-08-01T17:11:38.908565,9.0,10.0,1.0,Creative Writing(Fiction),LA,Closed
CWR 203,CWR,1252,24-25 Fall,2025-08-01T17:11:38.908618,10.0,10.0,0.0,Creative Writing(Fiction),LA,Closed
CWR 203,CWR,1252,24-25 Fall,2025-08-01T17:11:38.908671,11.0,10.0,-1.0,Creative Writing(Fiction),LA,Closed
CWR 205,CWR,1252,24-25 Fall,2025-08-01T17:11:38.908727,8.0,6.0,-2.0,Creative Writing (LiteraryTranslation),LA,Closed
CWR 213,CWR,1252,24-25 Fall,2025-08-01T17:11:38.908781,11.0,10.0,-1.0,Writing SpeculativeFiction,LA,Closed
CWR 301,CWR,1252,24-25 Fall,2025-08-01T17:11:38.908835,12.0,10.0,-2.0,Advanced Creative Writing(Poetry),LA,Closed
CWR 301,CWR,1252,24-25 Fall,2025-08-01T17:11:38.908888,3.0,10.0,7.0,Advanced Creative Writing(Poetry),LA,
CWR 303,CWR,1252,24-25 Fall,2025-08-01T17:11:38.908941,10.0,10.0,0.0,Advanced Creative Writing(Fiction),LA,Closed
CWR 303,CWR,1252,24-25 Fall,2025-08-01T17:11:38.908994,10.0,10.0,0.0,Advanced Creative Writing(Fiction),LA,Closed
CWR 305,CWR,1252,24-25 Fall,2025-08-01T17:11:38.909048,4.0,4.0,0.0,Advanced Creative Writing (LiteraryTranslation),LA,Closed
CWR 310,CWR,1252,24-25 Fall,2025-08-01T17:11:38.909101,7.0,10.0,3.0,Writing fromLife,LA,
CWR 313,CWR,1252,24-25 Fall,2025-08-01T17:11:38.909154,9.0,10.0,1.0,Seeing is Believing: Drafting the LastingImage,LA,
CWR 345,CWR,1252,24-25 Fall,2025-08-01T17:11:38.909207,7.0,10.0,3.0,Special Topics in Creative Writing: Writing PoliticalFiction,LA,
CWR 348,CWR,1252,24-25 Fall,2025-08-01T17:11:38.909261,10.0,10.0,0.0,Introduction to Screenwriting: Writing the ShortFilm,LA,Closed
DAN 207,DAN,1252,24-25 Fall,2025-08-01T17:11:38.909314,14.0,20.0,6.0,Introduction toBallet,LA,
DAN 208,DAN,1252,24-25 Fall,2025-08-01T17:11:38.909367,13.0,10.0,-3.0,Body andLanguage,LA,Closed
DAN 211,DAN,1252,24-25 Fall,2025-08-01T17:11:38.909421,11.0,16.0,5.0,The American Experience and Dance Practices of the AfricanDiaspora,LA,
DAN 215,DAN,1252,24-25 Fall,2025-08-01T17:11:38.909474,18.0,15.0,-3.0,Introduction to Dance AcrossCultures,CD or SA,Closed
DAN 224,DAN,1252,24-25 Fall,2025-08-01T17:11:38.909528,14.0,15.0,1.0,ExperientialAnatomy,EC,Closed
DAN 328,DAN,1252,24-25 Fall,2025-08-01T17:11:38.909581,9.0,15.0,6.0,Princeton Dance Festival: Choreography andPerformance,LA,
DAN 328,DAN,1252,24-25 Fall,2025-08-01T17:11:38.909634,8.0,15.0,7.0,Princeton Dance Festival: Choreography andPerformance,LA,
DAN 328,DAN,1252,24-25 Fall,2025-08-01T17:11:38.909688,6.0,15.0,9.0,Princeton Dance Festival: Choreography andPerformance,LA,
DAN 432,DAN,1252,24-25 Fall,2025-08-01T17:11:38.909741,0.0,0.0,0.0,Ballet as an Evolving Form: Technique andRepertory,LA,Canceled
