Term,2024 Fall,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Class Enrollment Summary by Term with Prompt,,,,,,,,,,,,,,
Time run: 11/5/2024 9:08:31 AM,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Class Number,Course Title,Course Name,View in Course Search,Course Section Code,Course Department,Instructor Full Name,UGrad,Grad,NonDegree,XReg,VUS,Employee,Withdraw,Total
18840,AFVS 187,Indigenous Cinema,View AFVS 187 in Course Search ,1,"Art, Film, and Visual Studies","Hopinka,Sky Thunder",11,0,0,0,0,0,0,11
19661,AFVS 190W,Film/Media Theory & Prac. Fr.,View AFVS 190W in Course Search ,1,"Art, Film, and Visual Studies","Conley,Tom",9,1,0,1,0,0,0,11
12944,AFVS 196R,Directed Rsch: Studio Course,View AFVS 196R in Course Search ,001,"Art, Film, and Visual Studies","Johnson,Rindon",11,1,0,1,0,0,0,13
18786,AFVS 21,"See, Soak, Squeeze",View AFVS 21 in Course Search ,1,"Art, Film, and Visual Studies",,6,1,0,0,0,0,0,7
18838,AFVS 222,AI and Art,View AFVS 222 in Course Search ,1,"Art, Film, and Visual Studies","Somaini,Antonio",13,4,0,5,0,1,0,23
14868,AFVS 25,"Painting: Light, Form, Surreal",View AFVS 25 in Course Search ,001,"Art, Film, and Visual Studies","Strobert,Kianja",11,0,0,0,0,0,0,11
18991,AFVS 264M,Adv. Proj. in Time-Based Media,View AFVS 264M in Course Search ,1,"Art, Film, and Visual Studies","Manna,Jumana",0,4,0,4,0,0,0,8
14882,AFVS 272,Proseminar in Film and Visual,View AFVS 272 in Course Search ,001,"Art, Film, and Visual Studies","Bruno,Giuliana",0,7,0,4,0,0,0,11
12945,AFVS 301,Film and Visual Studies Worksh,View AFVS 301 in Course Search ,001,"Art, Film, and Visual Studies","Frahm,Laura A.",0,2,0,0,0,0,0,2
12949,AFVS 310,Reading and Research,View AFVS 310 in Course Search ,001,"Art, Film, and Visual Studies","Frahm,Laura A.",0,11,1,0,0,0,0,12
12943,AFVS 320,Directed Study,View AFVS 320 in Course Search ,001,"Art, Film, and Visual Studies","Frahm,Laura A.",0,2,0,0,0,0,0,2
12940,AFVS 330R,Teaching Workshop,View AFVS 330R in Course Search ,001,"Art, Film, and Visual Studies","Frahm,Laura A.",0,6,0,0,0,0,0,6
14061,AFVS 351HF,Non-Fiction Filmmaking Wkshp,View AFVS 351HF in Course Search ,1,"Art, Film, and Visual Studies","Pimenta,Joana",0,5,0,0,0,0,0,5
13993,AFVS 40H,Intro to Still Photography,View AFVS 40H in Course Search ,001,"Art, Film, and Visual Studies","Helmar,Patrice",11,0,0,0,0,0,0,11
13994,AFVS 40H,Intro to Still Photography,View AFVS 40H in Course Search ,002,"Art, Film, and Visual Studies","Helmar,Patrice",10,0,0,0,0,0,0,10
18800,AFVS 40S,Introduction to Photography,View AFVS 40S in Course Search ,1,"Art, Film, and Visual Studies","Scarville,Keisha",8,2,0,1,0,0,0,11
12947,AFVS 50A,Introduction to Nonfiction Fi,View AFVS 50A in Course Search ,001,"Art, Film, and Visual Studies","Moss,Robb",9,0,0,0,0,0,0,9
13992,AFVS 52,Intro to Nonfiction Videomaki,View AFVS 52 in Course Search ,001,"Art, Film, and Visual Studies","Hopinka,Sky Thunder",8,0,0,3,0,0,0,11
14893,AFVS 53AR,Fundamentals of Animation,View AFVS 53AR in Course Search ,001,"Art, Film, and Visual Studies","Lingford,Ruth Stella",7,1,0,1,0,0,0,9
