Class Enrollment Summary by Term,,,,,,,,,,,,,
Time run: 4/20/2020 4:24:03 PM,,,,,,,,,,,,,
,,,,,,,,,,,,,
Course ID,Course Title,Course Name,Course Section Code,Course Department,Instructor Full Name,UGrad,Grad,NonDegree,XReg,VUS,Employee,Withdraw,Total
125186,AESTHINT 11,Poetry Without Borders,001,General Education,"Sandler,Stephanie",43,0,0,0,0,0,0,43
123834,AESTHINT 13,Cultural Agents,001,General Education,"Sommer,Doris",50,0,0,2,0,0,1,53
125188,AESTHINT 14,Putting Modernism Together,001,General Education,"Albright,Daniel",57,0,0,2,0,0,0,59
116873,AESTHINT 20,"Poems, Poets, Poetry",001,General Education,"Vendler,Helen",78,1,0,0,0,0,0,79
110744,AESTHINT 24,First Nights,001,General Education,"Kelly,Thomas Forrest",89,0,0,0,0,0,1,90
126634,AESTHINT 40,Monuments of Islamic Architec,001,General Education,"Roxburgh,David J.",20,2,0,0,0,0,0,22
127022,AESTHINT 51,The Cosmos of the Comedy,001,General Education,"Schnapp,Jeffrey",11,0,0,0,0,0,0,11
108950,AESTHINT 58,Modern Art and Modernity,001,General Education,"Lajer-Burcharth,Ewa",40,1,0,3,0,0,0,44
108580,AESTHINT 59,Nazi Cinema,001,General Education,"Rentschler,Eric",87,0,0,0,0,0,0,87
156113,AFRAMER 103X,The Black Radical Tradition,001,African & African Amer Studies,"Leroy,Justin",8,4,0,1,0,0,0,13
109467,AFRAMER 106X,Contemporary African Music,001,African & African Amer Studies,"Monson,Ingrid",3,0,0,1,0,0,0,4
109850,AFRAMER 108X,Exploring Race and Community i,001,African & African Amer Studies,"Martin,Carla Denny",18,0,0,1,0,0,0,19
123591,AFRAMER 11,Introduction to African Studie,001,African & African Amer Studies,"Olupona,Jacob",61,0,0,1,0,0,0,62
126698,AFRAMER 111,"Spectral Fictions, Savage",001,African & African Amer Studies,"Jeyifo,Biodun",6,1,0,0,0,0,0,7
107401,AFRAMER 117X,"Race, Gender ethn: Scorsese/Le",001,African & African Amer Studies,"Jeyifo,Biodun",67,0,0,0,0,0,0,67
144199,AFRAMER 118,The Hist of African Americans,001,African & African Amer Studies,"Brown,Vincent",15,0,0,2,0,0,0,17
156260,AFRAMER 130X,Richard Wright,001,African & African Amer Studies,"Carpio,Glenda",5,0,0,1,0,0,0,6
111780,AFRAMER 131,"AfrAm Lit, Beginning to Harlem",001,African & African Amer Studies,"Kincaid,Jamaica",17,1,0,1,0,0,0,19
110076,AFRAMER 141X,Prejudice and Racism in Modern,001,African & African Amer Studies,"Sidanius,James",6,1,1,0,0,0,0,8
125925,AFRAMER 16,Sociology of the Black Communi,001,African & African Amer Studies,"Bobo,Lawrence",25,0,0,0,0,0,0,25
127878,AFRAMER 178,"Health, Society, and",001,African & African Amer Studies,"Ralph,Laurence A",20,2,0,1,0,0,0,23
123438,AFRAMER 187,African Religions,001,African & African Amer Studies,"Olupona,Jacob",5,0,0,0,0,0,0,5
156329,AFRAMER 188X,Contemporary Art in Africa,001,African & African Amer Studies,"Blier,Suzanne",5,2,0,0,0,0,0,7
118883,AFRAMER 20,African Languages & Cultures,001,African & African Amer Studies,"Mugane,John M",19,0,0,1,0,0,0,20
108680,AFRAMER 209A,Africa Rising? New African Eco,001,African & African Amer Studies,"Comaroff,Jean",11,5,1,2,0,0,0,19
110494,AFRAMER 219,Race & Ethnicity in Latin Am,001,African & African Amer Studies,"de la Fuente,Alejandro",0,10,0,0,0,0,0,10
110495,AFRAMER 220,Seminar: African Diaspora,001,African & African Amer Studies,"de la Fuente,Alejandro",0,3,0,0,0,0,0,3
115727,AFRAMER 301,Graduate Proseminar,001,African & African Amer Studies,"Morgan,Marcyliena",0,5,0,0,0,0,0,5
119827,AFRAMER 391,Directed Writing,001,African & African Amer Studies,"Akyeampong,Emmanuel",0,1,0,0,0,0,0,1
122706,AFRAMER 398,Reading and Research,001,African & African Amer Studies,"Akyeampong,Emmanuel",0,3,0,0,0,0,0,3
115733,AFRAMER 399,Direction of Doctoral,001,African & African Amer Studies,"Akyeampong,Emmanuel",0,1,0,0,0,0,0,1
118965,AFRAMER 90R,African Language Tutorials,001,African & African Amer Studies,"Mugane,John M",0,0,0,1,0,0,0,1
126300,AFRAMER 90R.A,Amharic,001,African & African Amer Studies,"Mugane,John M",4,0,0,1,0,0,0,5
109427,AFRAMER 90R.A1,Afrikaans,001,African & African Amer Studies,"Mugane,John M",4,1,0,1,0,0,1,7
110272,AFRAMER 90R.A2,Hassaniyah,001,African & African Amer Studies,"Mugane,John M",0,1,0,0,0,0,0,1
110410,AFRAMER 90R.A4,Malagasy,001,African & African Amer Studies,"Mugane,John M",0,1,0,0,0,0,0,1
156750,AFRAMER 90R.A5,Jamaican Patois,001,African & African Amer Studies,"Mugane,John M",0,2,0,0,0,0,0,2
126301,AFRAMER 90R.B,Bamanakan,001,African & African Amer Studies,"Mugane,John M",0,0,0,1,0,0,0,1
126302,AFRAMER 90R.C,Cape Verdean Creole,001,African & African Amer Studies,"Mugane,John M",2,0,0,0,0,0,0,2
126306,AFRAMER 90R.G,Haitian Creole,001,African & African Amer Studies,"Mugane,John M",7,0,0,0,0,0,0,7
126308,AFRAMER 90R.I,Igbo,001,African & African Amer Studies,"Mugane,John M",10,0,0,0,0,0,0,10
126309,AFRAMER 90R.J,Kinyarwanda,001,African & African Amer Studies,"Mugane,John M",3,3,0,0,0,0,0,6
126310,AFRAMER 90R.K,Luganda,001,African & African Amer Studies,"Mugane,John M",0,1,0,0,0,0,0,1
126312,AFRAMER 90R.M,Somali,001,African & African Amer Studies,"Mugane,John M",0,1,0,0,0,0,0,1
126313,AFRAMER 90R.N,Tigrinya,001,African & African Amer Studies,"Mugane,John M",6,0,0,0,0,0,0,6
126314,AFRAMER 90R.O,Wolof,001,African & African Amer Studies,"Mugane,John M",1,0,0,0,0,0,0,1
126315,AFRAMER 90R.P,Xhosa,001,African & African Amer Studies,"Mugane,John M",1,3,0,0,0,0,0,4
126316,AFRAMER 90R.Q,Zulu,001,African & African Amer Studies,"Mugane,John M",17,1,0,0,0,0,0,18
127522,AFRAMER 90R.S,Krio,001,African & African Amer Studies,"Mugane,John M",0,0,0,1,0,0,0,1
127929,AFRAMER 90R.U,Sudanese Arabic,001,African & African Amer Studies,"Mugane,John M",1,0,0,2,0,0,0,3
107773,AFRAMER 90R.X,Setswana,001,African & African Amer Studies,"Mugane,John M",2,0,0,0,0,0,0,2
109290,AFRAMER 90R.Z,Lingala,001,African & African Amer Studies,"Mugane,John M",2,0,0,1,0,0,0,3
119818,AFRAMER 98A,Junior Tutorial - African Stdi,001,African & African Amer Studies,"Monson,Ingrid",2,0,0,0,0,0,0,2
124132,AFRAMER 99,Senior Thesis Workshop,001,African & African Amer Studies,"Monson,Ingrid",4,0,0,0,0,0,0,4
111624,AKKAD 154A,Peripheral Akkadian,001,Near Eastern Languages & Civ,"Steinkeller,Piotr",0,2,0,0,0,0,0,2
114320,AKKAD A,Introductory Akkadian,001,Near Eastern Languages & Civ,"Barjamovic,Gojko",1,1,0,1,0,0,0,3
113328,AMSTDIES 200,Major Wrks in American Studies,001,American Studies,"Lepore,Jill",0,13,1,2,0,0,0,16
110946,AMSTDIES 398,Reading and Research,001,American Studies,"Beckert,Sven",0,2,0,0,0,0,0,2
124363,AMSTDIES 399,Doctoral Dissertatn Direction,001,American Studies,"Beckert,Sven",0,13,0,0,0,0,0,13
156358,ANE 117,Biblical Archaeology,001,Near Eastern Languages & Civ,"Homsher,Robert",1,0,0,1,0,0,0,2
123192,ANE 126,Hist of the Relig of Ancient,001,Near Eastern Languages & Civ,"Machinist,Peter B",0,2,0,0,0,0,0,2
112855,ANE 134,Genesis,001,Near Eastern Languages & Civ,"Levenson,Jon D.",4,0,0,0,0,0,0,4
156357,ANE 212,Archaeol of the Levant,001,Near Eastern Languages & Civ,"Homsher,Robert",0,0,0,2,0,0,0,2
112378,ANTHRO 1010,Arch. Methods & Reasoning,001,Anthropology,"Ur,Jason Alik",68,0,0,0,0,0,0,68
113901,ANTHRO 1095,Urban Revolutions,001,Anthropology,"Lamberg-Karlovsky,C. C.",45,2,0,0,0,0,0,47
121141,ANTHRO 1130,Archaeology of Harvard Yard,001,Anthropology,"Capone,Patricia",22,0,0,0,0,0,0,22
156379,ANTHRO 1185,Talking Dead: Arch of Death,001,Anthropology,"Cerezo-Roman,Jessica Ines",1,3,0,0,0,1,0,5
119371,ANTHRO 1210,Archaeology of Ancient China,001,Anthropology,"Flad,Rowan K.",2,6,0,0,0,0,0,8
127050,ANTHRO 1250,The Pyramids of Giza,001,Anthropology,"Manuelian,Peter Der",19,4,0,0,0,0,1,24
123339,ANTHRO 1600,Ground the Global Anth Approac,001,Anthropology,"Herzfeld,Michael",32,0,0,0,0,0,1,33
156383,ANTHRO 1606,Being Asian American,001,Anthropology,"Yano,Christine",19,0,0,0,0,0,0,19
119379,ANTHRO 1610,Ethnographic Research Methods,001,Anthropology,"Ralph,Laurence A",21,0,0,0,0,1,0,22
156529,ANTHRO 1636,Latin American Cities,001,Anthropology,"Perez,Federico",10,3,0,3,0,0,0,16
112218,ANTHRO 1640,Language and Culture,001,Anthropology,"Harkness,Nicholas H.",11,1,0,0,0,0,0,12
156532,ANTHRO 1658,"Law, Culture, and Islam",001,Anthropology,"Ahmed,Asad A.",7,1,0,0,0,0,0,8
156381,ANTHRO 1804,Tasting Food,001,Anthropology,"Sternsdorff cisterna,Nicolas Igor",11,3,0,0,0,0,0,14
110044,ANTHRO 1832CR,Sensory Ethnography III,001,Anthropology,"Castaing-Taylor,Lucien",2,1,1,0,0,0,0,4
156380,ANTHRO 1988,"Kinship,Citizenship,Belonging",001,Anthropology,"Meiu,George Paul",10,4,0,0,0,0,0,14
113280,ANTHRO 2000,Osteoarchaeology Lab,001,Anthropology,"Meadow,Richard H.",4,3,0,0,0,0,0,7
120535,ANTHRO 2010AR,Materials in Ancient Societies,001,Anthropology,"Lamberg-Karlovsky,C. C.",1,3,0,0,0,0,0,4
123292,ANTHRO 2110R,Issues in Mesoamerican,001,Anthropology,"Fash,William",1,1,0,0,0,0,0,2
125614,ANTHRO 2250A,Proseminar in Archaeology,001,Anthropology,"Flad,Rowan K.",0,6,0,0,0,0,0,6
116522,ANTHRO 2626,Research Design/Proposal Writi,001,Anthropology,"Comaroff,Jean",0,12,0,0,0,0,0,12
110977,ANTHRO 2650A,Hist and Theory of Social Anth,001,Anthropology,"Steedly,Mary M.",0,11,0,0,0,0,0,11
120311,ANTHRO 2660,Anthro of Knowledge: Seminar,001,Anthropology,"Herzfeld,Michael",1,6,0,5,0,0,0,12
119983,ANTHRO 2704,Ling Pragmatics & Cult Analysi,001,Anthropology,"Harkness,Nicholas H.",0,5,0,1,0,0,0,6
108976,ANTHRO 2722,Sonic Ethnography,001,Anthropology,"Karel,Ernst",1,6,1,2,0,0,0,10
126190,ANTHRO 2855,Deep China,001,Anthropology,"Kleinman,Arthur",5,6,0,3,0,0,0,14
113022,ANTHRO 3000,Reading Course,001,Anthropology,"Ahmed,Asad A.",0,10,0,1,0,0,0,11
113022,ANTHRO 3000,Reading Course,1676,Anthropology,,0,1,0,0,0,0,0,1
113022,ANTHRO 3000,Reading Course,6484,Anthropology,,0,1,0,0,0,0,0,1
116603,ANTHRO 3001,Reading for General Examinatio,001,Anthropology,"Ahmed,Asad A.",0,1,0,0,0,0,0,1
110152,ANTHRO 3200,Dissertation Writing Workshop,001,Anthropology,"Steedly,Mary M.",0,7,0,0,0,0,0,7
119079,ANTHRO 3400,Reading and Research,001,Anthropology,"Bestor,Theodore C",0,3,0,0,0,0,0,3
119079,ANTHRO 3400,Reading and Research,2783,Anthropology,,0,1,0,0,0,0,0,1
119079,ANTHRO 3400,Reading and Research,4618,Anthropology,,0,1,0,0,0,0,0,1
111058,ANTHRO 3500,Direction of Doctoral,001,Anthropology,"Bar-yosef,Ofer",0,3,0,0,0,0,0,3
123453,ANTHRO 91ZR,Supervised Reading & Research,001,Anthropology,"Meadow,Richard H.",1,0,0,0,0,0,0,1
