Class Enrollment Summary by Term with Prompt,,,,,,,,,,,,,,
Time run: 3/26/2025 8:00:16 AM,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Class Number,Course Title,Course Name,View in Course Search,Course Section Code,Course Department,Instructor Full Name,UGrad,Grad,NonDegree,XReg,VUS,Employee,Withdraw,Total
12163,AFVS 196R,Directed Rsch: Studio Course,View AFVS 196R in Course Search ,001,"Art, Film, and Visual Studies","Johnson,Rindon",7,1,0,4,0,0,0,12
12158,AFVS 209R,"Curation, Conservation, Progra",View AFVS 209R in Course Search ,001,"Art, Film, and Visual Studies","Frahm,Laura A.",1,0,0,0,0,0,0,1
17946,AFVS 21,"See, Soak, Squeeze",View AFVS 21 in Course Search ,1,"Art, Film, and Visual Studies","Hoseini,Maryamsadat",10,0,0,2,0,0,0,12
14096,AFVS 268,"Genealogies of Art, Film and V",View AFVS 268 in Course Search ,1,"Art, Film, and Visual Studies","Lambert-Beatty,Carrie",0,2,0,1,0,0,0,3
12164,AFVS 301,Film and Visual Studies Worksh,View AFVS 301 in Course Search ,001,"Art, Film, and Visual Studies","Frahm,Laura A.",0,1,0,0,0,0,0,1
14075,AFVS 305,FVS Writing Seminar,View AFVS 305 in Course Search ,1,"Art, Film, and Visual Studies","Frahm,Laura A.",0,4,0,0,0,0,0,4
12162,AFVS 310,Reading and Research,View AFVS 310 in Course Search ,001,"Art, Film, and Visual Studies","Frahm,Laura A.",0,13,1,0,0,0,0,14
12161,AFVS 320,Directed Study,View AFVS 320 in Course Search ,001,"Art, Film, and Visual Studies","Frahm,Laura A.",0,1,0,0,0,0,0,1
12159,AFVS 330R,Teaching Workshop,View AFVS 330R in Course Search ,001,"Art, Film, and Visual Studies","Frahm,Laura A.",0,3,0,0,0,0,0,3
12168,AFVS 351HF,Non-Fiction Filmmaking Wkshp,View AFVS 351HF in Course Search ,1,"Art, Film, and Visual Studies","Pimenta,Joana",0,2,0,0,0,0,0,2
12827,AFVS 355R,Adv. Critical Media Practice,View AFVS 355R in Course Search ,1,"Art, Film, and Visual Studies","Burin,Katarina",0,4,0,7,0,0,1,12
12991,AFVS 390,Graduate Studio Workshop,View AFVS 390 in Course Search ,1,"Art, Film, and Visual Studies","Bruguera,Tania",0,7,0,3,0,0,0,10
13236,AFVS 40H,Intro to Still Photography,View AFVS 40H in Course Search ,001,"Art, Film, and Visual Studies","Helmar,Patrice",10,0,0,1,0,0,0,11
17948,AFVS 41A,Intro to Photography,View AFVS 41A in Course Search ,1,"Art, Film, and Visual Studies","Harper,Sharon C.",10,0,0,0,0,0,0,10
21189,AFVS 42L,Introduction to Photography,View AFVS 42L in Course Search ,1,"Art, Film, and Visual Studies","Renaldi,Richard",7,0,0,2,0,0,0,9
12826,AFVS 50B,Intro to Non Fiction Filmmakin,View AFVS 50B in Course Search ,1,"Art, Film, and Visual Studies","Pimenta,Joana",9,0,0,0,0,0,0,9
20145,AFVS 52T,Intro to Nonfiction Video,View AFVS 52T in Course Search ,1,"Art, Film, and Visual Studies","Arnias Castillo,Luis Alberto",7,0,0,2,0,0,0,9
12156,AFVS 53AR,Fundamentals of Animation,View AFVS 53AR in Course Search ,001,"Art, Film, and Visual Studies","Lingford,Ruth Stella",10,0,0,1,0,0,0,11
21318,AFVS 60X,Approaching Narrative: Intro,View AFVS 60X in Course Search ,1,"Art, Film, and Visual Studies","Diop,Oumy Alice",7,0,0,2,0,0,0,9
18082,AFVS 61,Intro to Narrative Filmmaking,View AFVS 61 in Course Search ,1,"Art, Film, and Visual Studies","Hadid,Tala",10,0,0,1,0,0,0,11
18439,AFVS 70,The Art of Film,View AFVS 70 in Course Search ,1,"Art, Film, and Visual Studies","Guest,Haden",36,0,1,1,0,0,0,38
18452,AFVS 82,Twitch Chicken Soup for Soul,View AFVS 82 in Course Search ,1,"Art, Film, and Visual Studies","Johnson,Rindon",1,0,0,2,0,0,0,3
12160,AFVS 91R,Special Projects,View AFVS 91R in Course Search ,001,"Art, Film, and Visual Studies","Lingford,Ruth Stella",7,0,0,0,0,0,0,7
12165,AFVS 97,Tutorial - Sophomore Year,View AFVS 97 in Course Search ,001,"Art, Film, and Visual Studies","Pandian,Karthik",21,0,0,0,0,0,0,21
12157,AFVS 98R,Tutorial - Junior Year,View AFVS 98R in Course Search ,001,"Art, Film, and Visual Studies","Lingford,Ruth Stella",1,0,0,0,0,0,0,1
12169,AFVS 99A,Tutorial - Senior Year,View AFVS 99A in Course Search ,001,"Art, Film, and Visual Studies","Strobert,Kianja",1,0,0,0,0,0,0,1
