Course ID,Course Title,Course Name,Course Section Code,Course Department,Instructor Full Name,UGrad,Grad,NonDegree,XReg,VUS,Employee,Withdraw,Total
123913,AESTHINT 36,Buddhism and Japanese Culture,001,General Education,"Abe,Ryuichi",74,0,0,1,0,0,0,75
125190,AESTHINT 54,For the Love of God and His,001,General Education,"Asani,Ali S.",39,0,0,1,0,0,0,40
124798,AESTHINT 60,Lit&Art in Era of Crisis&Opp,001,General Education,"Grabowicz,George",11,0,0,0,0,0,0,11
156264,AESTHINT 62,California in the 60's,001,General Education,"van Orden,Kate",92,0,0,0,0,0,0,92
110464,AESTHINT 63,East Asian Cinema,001,General Education,"Li,Jie",91,3,0,2,1,0,0,97
123591,AFRAMER 11,Introduction to African Studie,001,African & African Amer Studies,"Comaroff,John",49,0,0,0,0,0,0,49
108879,AFRAMER 119X,"Chocolate, Culture, and Politi",001,African & African Amer Studies,"Martin,Carla Denny",40,0,1,9,1,0,0,51
159570,AFRAMER 124Y,Afro-Latin America: Hist & Cul,001,African & African Amer Studies,"de la Fuente,Alejandro",13,3,1,0,0,0,0,17
156259,AFRAMER 125X,Urban Inequality after Civil,001,African & African Amer Studies,"Hinton,Elizabeth Kai",29,1,0,1,0,0,0,31
108234,AFRAMER 135X,Reading Du Bois,001,African & African Amer Studies,"Shelby,Tommie",15,11,0,4,0,0,0,30
123434,AFRAMER 137,"Lit, Oratory, Pop Music Pol Li",001,African & African Amer Studies,"Jeyifo,Biodun",12,1,0,0,0,0,0,13
109466,AFRAMER 140X,"Film, Fiction and Diaspora",001,African & African Amer Studies,"Jeyifo,Biodun",12,2,0,0,0,0,0,14
160402,AFRAMER 158X,Educational Prog & Barriers,001,African & African Amer Studies,"Rivers,Jacqueline Olga cooke",13,0,0,0,0,0,0,13
118130,AFRAMER 174,The African City,001,African & African Amer Studies,"Blier,Suzanne",5,0,0,4,0,0,0,9
124607,AFRAMER 182,From R & B to Neo Soul,001,African & African Amer Studies,"Monson,Ingrid",131,0,0,2,0,0,0,133
108168,AFRAMER 186X,Childhood in African America,001,African & African Amer Studies,"Bernstein,Robin",10,0,0,0,0,0,0,10
127960,AFRAMER 191X,African Am Lives in the Law,001,African & African Amer Studies,"Higginbotham,Evelyn Brooks",3,0,0,0,0,0,0,3
123435,AFRAMER 197,"Poverty, Race, and Health",001,African & African Amer Studies,"Williams,David",10,1,0,1,0,0,0,12
160333,AFRAMER 208,"Social Theory, In Out Africa",001,African & African Amer Studies,"Comaroff,Jean",1,13,0,4,0,0,0,18
108694,AFRAMER 209B,Africa Rising? New African Eco,001,African & African Amer Studies,"Comaroff,Jean",12,1,0,4,1,0,0,18
110092,AFRAMER 212,Entrepreneurship in Africa,001,African & African Amer Studies,"Williams,David",12,0,1,3,2,0,0,18
116185,AFRAMER 302,Graduate Seminar,001,African & African Amer Studies,"Sidanius,James",0,5,0,0,0,0,0,5
122706,AFRAMER 398,Reading and Research,006,African & African Amer Studies,"Bernstein,Robin",0,2,0,0,0,0,0,2
122706,AFRAMER 398,Reading and Research,012,African & African Amer Studies,"de la Fuente,Alejandro",0,1,0,0,0,0,0,1
122706,AFRAMER 398,Reading and Research,022,African & African Amer Studies,"Johnson,Walter",0,1,0,0,0,0,0,1
122706,AFRAMER 398,Reading and Research,028,African & African Amer Studies,"Mugane,John M",0,2,0,0,0,0,0,2
118965,AFRAMER 90R,African Language Tutorials,001,African & African Amer Studies,"Mugane,John M",4,0,0,0,0,0,0,4
126300,AFRAMER 90R.A,Amharic,001,African & African Amer Studies,"Mugane,John M",6,1,0,1,0,0,0,8
109427,AFRAMER 90R.A1,Afrikaans,001,African & African Amer Studies,"Mugane,John M",14,4,0,1,0,0,0,19
110272,AFRAMER 90R.A2,Hassaniyah,001,African & African Amer Studies,"Mugane,John M",0,2,0,0,0,0,0,2
110410,AFRAMER 90R.A4,Malagasy,001,African & African Amer Studies,"Mugane,John M",1,0,0,0,0,0,0,1
156750,AFRAMER 90R.A5,Jamaican Patois,001,African & African Amer Studies,"Mugane,John M",14,0,0,1,0,0,0,15
159663,AFRAMER 90R.A6,Bemba,001,African & African Amer Studies,"Mugane,John M",0,0,0,1,0,0,0,1
202994,AFRAMER 90R.A8,Ge'ez,001,African & African Amer Studies,"Mugane,John M",0,1,0,0,0,0,0,1
126301,AFRAMER 90R.B,Bamanakan,001,African & African Amer Studies,"Diakite,Boubacar",2,0,0,0,0,0,0,2
126302,AFRAMER 90R.C,Cape Verdean Creole,001,African & African Amer Studies,"Mugane,John M",2,0,0,0,0,0,0,2
126303,AFRAMER 90R.D,Chichewa,001,African & African Amer Studies,"Mugane,John M",0,1,0,0,0,0,0,1
126306,AFRAMER 90R.G,Haitian Creole,001,African & African Amer Studies,"Mugane,John M",4,0,0,0,0,0,0,4
126307,AFRAMER 90R.H,Hausa,001,African & African Amer Studies,"Mugane,John M",0,0,0,1,0,0,0,1
126308,AFRAMER 90R.I,Igbo,001,African & African Amer Studies,"Mugane,John M",12,0,0,0,0,0,0,12
126309,AFRAMER 90R.J,Kinyarwanda,001,African & African Amer Studies,"Mugane,John M",1,1,0,0,0,0,0,2
126310,AFRAMER 90R.K,Luganda,001,African & African Amer Studies,"Mugane,John M",3,0,0,0,0,0,0,3
126311,AFRAMER 90R.L,Oromo,001,African & African Amer Studies,"Mugane,John M",0,0,0,1,0,0,0,1
126312,AFRAMER 90R.M,Somali,001,African & African Amer Studies,"Mugane,John M",1,0,0,0,0,0,0,1
126313,AFRAMER 90R.N,Tigrinya,001,African & African Amer Studies,"Mugane,John M",6,0,0,1,0,0,0,7
126314,AFRAMER 90R.O,Wolof,001,African & African Amer Studies,"Mugane,John M",0,1,0,1,0,0,0,2
126316,AFRAMER 90R.Q,Zulu,001,African & African Amer Studies,"Mugane,John M",22,1,0,2,0,0,0,25
127522,AFRAMER 90R.S,Krio,001,African & African Amer Studies,"Mugane,John M",0,0,0,0,0,0,0,0
127929,AFRAMER 90R.U,Sudanese Arabic,001,African & African Amer Studies,"Mugane,John M",3,0,0,0,0,0,0,3
127934,AFRAMER 90R.V,Pulaar,001,African & African Amer Studies,"Mugane,John M",0,2,0,0,0,0,0,2
107773,AFRAMER 90R.X,Setswana,001,African & African Amer Studies,"Mugane,John M",1,1,0,0,0,0,0,2
109290,AFRAMER 90R.Z,Lingala,001,African & African Amer Studies,"Mugane,John M",3,1,0,1,0,0,0,5
110605,AFRAMER 91R,Supervised Reading and Researc,001,African & African Amer Studies,"Monson,Ingrid",2,0,0,0,0,0,0,2
123590,AFRAMER 97,Sophomore Tutorial,001,African & African Amer Studies,"Williams,Eric Lewis",7,0,0,0,0,0,0,7
161337,AFRAMER 97R.A7,Fon,001,African & African Amer Studies,"Mugane,John M",0,1,0,0,0,0,0,1
118023,AFRAMER 98,Junior Tutorial - African Am,001,African & African Amer Studies,"Monson,Ingrid",3,0,0,0,0,0,0,3
119818,AFRAMER 98A,Junior Tutorial - African Stdi,001,African & African Amer Studies,"Monson,Ingrid",2,0,0,0,0,0,0,2
159794,AFRAMER 99B,Senior Thesis Workshop,001,African & African Amer Studies,"Monson,Ingrid",2,0,0,0,0,0,0,2
159799,AKKAD 120B,Intermediate Babylonian,001,Near Eastern Languages & Civ,"Barjamovic,Gojko",0,1,0,0,0,0,0,1
115588,AKKAD 152,Texts from 1st Millenium BCE,001,Near Eastern Languages & Civ,"Barjamovic,Gojko",0,2,0,0,0,0,0,2
159801,AKKAD AB,Introductory Akkadian,001,Near Eastern Languages & Civ,"Barjamovic,Gojko",1,0,0,1,0,0,0,2
110946,AMSTDIES 398,Reading and Research,001,American Studies,"Beckert,Sven",0,1,0,0,0,0,0,1
110946,AMSTDIES 398,Reading and Research,008,American Studies,"Carpio,Glenda",0,1,0,0,0,0,0,1
110946,AMSTDIES 398,Reading and Research,013,American Studies,"Higginbotham,Evelyn Brooks",0,1,0,0,0,0,0,1
110946,AMSTDIES 398,Reading and Research,014,American Studies,"Jewett,Andrew",0,2,0,0,0,0,0,2
110946,AMSTDIES 398,Reading and Research,026,American Studies,"Reuben,Julie A.",0,1,0,0,0,0,0,1
110946,AMSTDIES 398,Reading and Research,027,American Studies,"Rivera,Mayra",0,3,0,0,0,0,0,3
110946,AMSTDIES 398,Reading and Research,028,American Studies,"Roberts,Jennifer L.",0,2,0,0,0,0,0,2
110946,AMSTDIES 398,Reading and Research,032,American Studies,"Stauffer,John",0,2,0,0,0,0,0,2
110946,AMSTDIES 398,Reading and Research,034,American Studies,"Lambert-Beatty,Carrie",0,1,0,0,0,0,0,1
110946,AMSTDIES 398,Reading and Research,035,American Studies,"Kim,Ju Yon",0,1,0,0,0,0,0,1
110946,AMSTDIES 398,Reading and Research,040,American Studies,"Gonzales,Roberto G.",0,1,0,0,0,0,0,1
110946,AMSTDIES 398,Reading and Research,041,American Studies,"García Peña,Lorgia",0,1,0,0,0,0,0,1
124363,AMSTDIES 399,Doctoral Dissertatn Direction,001,American Studies,"Beckert,Sven",0,2,0,0,0,0,0,2
124363,AMSTDIES 399,Doctoral Dissertatn Direction,002,American Studies,"Bernstein,Robin",0,2,0,0,0,0,0,2
124363,AMSTDIES 399,Doctoral Dissertatn Direction,003,American Studies,"Carpio,Glenda",0,1,0,0,0,0,0,1
124363,AMSTDIES 399,Doctoral Dissertatn Direction,004,American Studies,"Chaplin,Joyce E.",0,2,0,0,0,0,0,2
