Class Enrollment Summary by Term with Prompt,,,,,,,,,,,,,,
Time run: 4/17/2025 8:00:19 AM,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Class Number,Course Title,Course Name,View in Course Search,Course Section Code,Course Department,Instructor Full Name,UGrad,Grad,NonDegree,XReg,VUS,Employee,Withdraw,Total
13506,AFVS 52,Intro to Nonfiction Videomaki,View AFVS 52 in Course Search ,001,"Art, Film, and Visual Studies","Hopinka,Sky Thunder",4,0,0,0,0,0,0,4
13937,AFVS 53AR,Fundamentals of Animation,View AFVS 53AR in Course Search ,001,"Art, Film, and Visual Studies","Lingford,Ruth Stella",8,0,0,0,0,0,0,8
15167,AFVS 55P,Embodied Practices,View AFVS 55P in Course Search ,1,"Art, Film, and Visual Studies","Tetrault,Pascale",5,0,0,0,0,0,0,5
13933,AFVS 60X,Approaching Narrative: Intro,View AFVS 60X in Course Search ,001,"Art, Film, and Visual Studies",,5,0,0,0,0,0,0,5
18705,AFVS 63,Intro to Time-Based Media,View AFVS 63 in Course Search ,1,"Art, Film, and Visual Studies","Pandian,Karthik",5,0,0,0,0,0,0,5
12619,AFVS 91R,Special Projects,View AFVS 91R in Course Search ,001,"Art, Film, and Visual Studies","Lingford,Ruth Stella",1,0,0,0,0,0,0,1
12625,AFVS 99A,Tutorial - Senior Year,View AFVS 99A in Course Search ,001,"Art, Film, and Visual Studies","Harper,Sharon C.",17,0,0,0,0,0,0,17
12627,AFVS 99B,Tutorial - Senior Year,View AFVS 99B in Course Search ,001,"Art, Film, and Visual Studies","Harper,Sharon C.",1,0,0,0,0,0,0,1
17008,AKKAD 130R,Akkadian Incantations,View AKKAD 130R in Course Search ,001,Near Eastern Languages & Civ,"Glenn,Anna",0,1,0,0,0,0,0,1
12567,AKKAD AA,Introductory Akkadian I,View AKKAD AA in Course Search ,001,Near Eastern Languages & Civ,"Debourse,Celine Hilde Ilse",0,1,0,1,0,0,0,2
16936,ALBANIAN AA,Elementary Modern Albanian I,View ALBANIAN AA in Course Search ,001,Near Eastern Languages & Civ,"Uthman,Nader",4,0,0,0,0,0,0,4
13873,AMHARIC 101AR,Advanced Amharic,View AMHARIC 101AR in Course Search ,001,African & African Amer Studies,"Mugane,John M",2,0,0,0,0,0,0,2
19647,AMSTDIES 201,Methods in American Studies,View AMSTDIES 201 in Course Search ,1,American Studies,"Deloria,Philip",0,6,0,0,0,0,0,6
14299,AMSTDIES 399,Doctoral Dissertatn Direction,View AMSTDIES 399 in Course Search ,6,American Studies,"Joselit,David",0,1,0,0,0,0,0,1
14300,AMSTDIES 399,Doctoral Dissertatn Direction,View AMSTDIES 399 in Course Search ,7,American Studies,"Bernstein,Robin",0,1,0,0,0,0,0,1
14733,ANE 115,Archaeology of the Levant,View ANE 115 in Course Search ,001,Near Eastern Languages & Civ,"Danielson,Andrew Joel",3,1,0,0,0,0,0,4
13813,ANE 120A,Hebrew Bible/Old Testament 1,View ANE 120A in Course Search ,001,Near Eastern Languages & Civ,"Teeter,Andrew",2,0,0,0,0,0,0,2
17126,ANTHRO 1130,Archaeology of Harvard Yard,View ANTHRO 1130 in Course Search ,001,Anthropology,"Loren,Diana",5,0,0,0,0,0,0,5
17132,ANTHRO 1232,Arch of the African Holocene,View ANTHRO 1232 in Course Search ,001,Anthropology,"Monroe,Shayla",0,1,0,0,0,0,0,1
17128,ANTHRO 1255,Human Diet,View ANTHRO 1255 in Course Search ,001,Anthropology,"Warinner,Christina Gertrude",7,1,0,0,0,0,0,8
17121,ANTHRO 1475,Religious Dimensions Human Exp,View ANTHRO 1475 in Course Search ,001,Anthropology,"Carrasco,Davíd L.",15,1,0,0,0,0,0,16
14844,ANTHRO 1602,Intro to Sociocultural Anthro,View ANTHRO 1602 in Course Search ,001,Anthropology,"Harkness,Nicholas H.",17,1,0,1,0,0,0,19
18608,ANTHRO 1603,Law and Its Limits,View ANTHRO 1603 in Course Search ,001,Anthropology,"Reddy,Malavika",16,0,0,0,0,0,0,16
10988,ANTHRO 1610,Ethnographic Research Methods,View ANTHRO 1610 in Course Search ,001,Anthropology,,13,0,0,0,0,0,0,13
17155,ANTHRO 1691,Mobility in Asia,View ANTHRO 1691 in Course Search ,001,Anthropology,,13,8,0,1,0,0,0,22
17140,ANTHRO 1831,The Voice,View ANTHRO 1831 in Course Search ,001,Anthropology,"Harkness,Nicholas H.",11,2,0,0,0,0,0,13
18610,ANTHRO 1924,The Anthropology of Disaster,View ANTHRO 1924 in Course Search ,001,Anthropology,,9,3,0,0,0,0,0,12
17133,ANTHRO 2070,Archaeological Method & Theory,View ANTHRO 2070 in Course Search ,001,Anthropology,"Flad,Rowan K.",1,6,0,0,0,0,0,7
17139,ANTHRO 2413,Comparative Human Ecologies,View ANTHRO 2413 in Course Search ,001,Anthropology,"Monroe,Shayla",3,0,0,0,0,0,0,3
17579,ANTHRO 2797,Social Medicine,View ANTHRO 2797 in Course Search ,001,Anthropology,"Keshavjee,Salmaan",7,0,0,0,0,0,0,7
13106,ANTHRO 3000,Reading Course,View ANTHRO 3000 in Course Search ,020,Anthropology,"Ur,Jason",0,1,0,0,0,0,0,1
12474,ANTHRO 3400,Reading and Research,View ANTHRO 3400 in Course Search ,001,Anthropology,,0,10,0,0,0,0,0,10
12530,ANTHRO 3410,Teaching Fellowship,View ANTHRO 3410 in Course Search ,001,Anthropology,,0,9,0,0,0,0,0,9
13169,ANTHRO 3626,Research Design/Proposal Writi,View ANTHRO 3626 in Course Search ,001,Anthropology,"Reddy,Malavika",0,2,0,0,0,0,0,2
12323,ANTHRO 98A,Junior Tutorial in Anthropolog,View ANTHRO 98A in Course Search ,001,Anthropology,"Khaira,Damina",12,0,0,0,0,0,0,12
12438,ANTHRO 99A,Thesis Tutorial in Anthropolog,View ANTHRO 99A in Course Search ,001,Anthropology,"Khaira,Damina",11,0,0,0,0,0,0,11
12690,APCOMP 209A,Data Science 1,View APCOMP 209A in Course Search ,001,Applied Computation,"Protopapas,Pavlos",6,18,0,0,0,0,0,24
14067,APCOMP 215,Adv Practical Data Science,View APCOMP 215 in Course Search ,001,Applied Computation,"Protopapas,Pavlos",15,48,0,0,0,0,0,63
16991,APCOMP 275,Computational Design Materials,View APCOMP 275 in Course Search ,001,Applied Computation,"Kozinsky,Boris",1,5,0,0,0,0,0,6
12692,APCOMP 297R,CSE Capstone Project,View APCOMP 297R in Course Search ,001,Applied Computation,"Pan,Weiwei",0,35,0,0,0,0,0,35
12687,APCOMP 298R,Interdisciplinary Sem Apcomp,View APCOMP 298R in Course Search ,001,Applied Computation,"Pan,Weiwei",2,3,0,0,0,0,0,5
12689,APCOMP 302,Special Topics in CSE,View APCOMP 302 in Course Search ,001,Applied Computation,"Weinstock,Daniel S",0,25,0,0,0,0,0,25
12956,APMTH 10,Computing for Science Engineer,View APMTH 10 in Course Search ,001,Applied Mathematics,"McCarty,Logan",60,0,0,0,0,0,0,60
17081,APMTH 101,Stat Inference for Sci and Eng,View APMTH 101 in Course Search ,001,Applied Mathematics,"Kaxiras,Efthimios",27,2,0,0,0,0,0,29
12699,APMTH 104,Complex & Fourier Analysis,View APMTH 104 in Course Search ,001,Applied Mathematics,"Mahadevan,L",82,2,0,0,0,0,0,84
16993,APMTH 111,Intro to Scientific Computing,View APMTH 111 in Course Search ,001,Applied Mathematics,"Iams,Sarah M",18,0,0,0,0,0,0,18
14971,APMTH 115,Mathematical Modeling,View APMTH 115 in Course Search ,001,Applied Mathematics,"Brenner,Michael P.",28,1,0,0,0,0,0,29
12698,APMTH 121,Optimization: Models & Methods,View APMTH 121 in Course Search ,001,Applied Mathematics,"Weber,Melanie",73,0,0,0,0,0,0,73
16994,APMTH 158,Optimal Control & Reinforcemnt,View APMTH 158 in Course Search ,001,Applied Mathematics,"Yang,Heng",4,3,0,0,0,0,0,7
13503,APMTH 205,Advanced Scientific Computing,View APMTH 205 in Course Search ,001,Applied Mathematics,"Trefethen,Nick",17,11,0,0,0,0,0,28
13467,APMTH 207,Advanced Scientific Computing,View APMTH 207 in Course Search ,001,Applied Mathematics,,0,5,0,0,0,0,0,5
16995,APMTH 210,Algebraic Fundamentals,View APMTH 210 in Course Search ,001,Applied Mathematics,"Seigal,Anna",18,7,0,1,0,0,0,26
16497,APMTH 215,Math Modeling for Computation,View APMTH 215 in Course Search ,001,Applied Mathematics,"Brenner,Michael P.",5,7,0,0,0,0,0,12
14694,APMTH 226,Theory of Neural Computation,View APMTH 226 in Course Search ,001,Applied Mathematics,"Pehlevan,Cengiz",15,10,0,0,0,0,0,25
16032,APMTH 254,Math of High-Dimensional Info,View APMTH 254 in Course Search ,001,Applied Mathematics,"Lu,Yue",1,2,0,0,0,0,0,3
12693,APMTH 318,Special Topics in Physical Mat,View APMTH 318 in Course Search ,001,Applied Mathematics,"Brenner,Michael P.",0,1,0,0,0,0,0,1
12695,APMTH 320,Topics in Macroscopic Physics,View APMTH 320 in Course Search ,001,Applied Mathematics,"Mahadevan,L",0,1,0,0,0,0,0,1
12700,APMTH 326,Theoretical Neuroscience,View APMTH 326 in Course Search ,001,Applied Mathematics,"Pehlevan,Cengiz",0,5,0,0,0,0,0,5
16371,APMTH 327,Numerical Algorithms,View APMTH 327 in Course Search ,001,Applied Mathematics,"Trefethen,Nick",0,2,0,0,0,0,0,2
19035,APPHY 218,Materials Properties,View APPHY 218 in Course Search ,001,Applied Physics,"Westervelt,Robert M.",0,6,0,0,0,0,0,6
14697,APPHY 225,Introduction to Soft Matter,View APPHY 225 in Course Search ,001,Applied Physics,"Weitz,David A.",0,7,0,0,0,0,0,7
13175,APPHY 235,Chemistry in Materials Science,View APPHY 235 in Course Search ,001,Applied Physics,"Aizenberg,Joanna",5,1,0,0,0,0,0,6
18829,APPHY 236,Physical Electrochemistry,View APPHY 236 in Course Search ,001,Applied Physics,"Schiffer,Zachary",4,5,0,0,0,0,0,9
16999,APPHY 275,Computation Design Materials,View APPHY 275 in Course Search ,001,Applied Physics,"Kozinsky,Boris",1,4,0,0,0,0,0,5
13179,APPHY 284,Statistical Mechanics,View APPHY 284 in Course Search ,001,Applied Physics,"Chung,SueYeon",0,4,0,0,0,0,0,4
17000,APPHY 286,"Inference, Information Theory",View APPHY 286 in Course Search ,001,Applied Physics,"Ramanathan,Sharad",0,10,0,0,0,0,0,10
17001,APPHY 290B,Research & Academic Culture,View APPHY 290B in Course Search ,001,Applied Physics,"Weitz,David A.",0,6,0,0,0,0,0,6
12726,APPHY 295A,Quantum Theory of Solids,View APPHY 295A in Course Search ,001,Applied Physics,"Kim,Philip",0,6,0,0,0,0,0,6
17002,APPHY 296,Mesoscale & Low Dim Devices,View APPHY 296 in Course Search ,001,Applied Physics,"Ham,Donhee",0,3,0,0,0,0,0,3
12721,APPHY 304,Materials Science of Biologica,View APPHY 304 in Course Search ,001,Applied Physics,"Aizenberg,Joanna",0,1,0,0,0,0,0,1
12686,APPHY 320,Electron Microscopy,View APPHY 320 in Course Search ,001,Applied Physics,"Prigozhin,Maxim",0,1,0,0,0,0,0,1
12719,APPHY 330,Hetero Nano Devices & Bio-temp,View APPHY 330 in Course Search ,001,Applied Physics,"Hu,Evelyn",0,1,0,0,0,0,0,1
12716,APPHY 342,"Nano-Lasers, Single-Photon Sou",View APPHY 342 in Course Search ,001,Applied Physics,"Loncar,Marko",0,3,0,0,0,0,0,3
12706,APPHY 350,Exp Physics in Low Dimen Mater,View APPHY 350 in Course Search ,001,Applied Physics,"Kim,Philip",0,1,0,0,0,0,0,1
12711,APPHY 362,"Photonics, Quantm Devices & Na",View APPHY 362 in Course Search ,001,Applied Physics,"Capasso,Federico",0,6,0,0,0,0,0,6
12707,APPHY 364,Exp Soft Condensed Matter,View APPHY 364 in Course Search ,001,Applied Physics,"Weitz,David A.",0,2,0,0,0,0,0,2
12724,APPHY 374,Signaling Processing and Syste,View APPHY 374 in Course Search ,001,Applied Physics,"Ramanathan,Sharad",0,1,0,0,0,0,0,1
